�..sale_date,chrome_style_id,country_code,customer_postal_code,days_in_inventory,dealership_id,dealership_postal_code,dma_id,finance_type,make_name,model_name,model_year,new_or_used,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
1/3/2019 0:00,402215,US,80129-1900,NA,14561,80129,751,LOAN,BMW,X6,2019,NEW,1,66245,69315,66245,dmi,FLEET,CO,xDrive35i AWD,6,FALSE,66874.32,GREAT,68241.93,FALSE,0.964788574
1/3/2019 0:00,397961,US,460338157,132,6465,46219,527,,Honda,Clarity,2018,NEW,10,36323.62,37495,34000,reynolds,RETAIL,IN,Plug-In Hybrid Touring,2,FALSE,34054.4,BELOW_MARKET,35568.77,FALSE,0.908238432
1/3/2019 0:00,400870,US,48114-9394,NA,7026,60515,602,LOAN,Mazda,CX-3,2019,NEW,11,24363,25070,24124,dmi,DEALER_TRADE,IL,Touring AWD,2,FALSE,24353.17,GREAT,24844.69,TRUE,0.971406861
1/3/2019 0:00,404358,US,36606-2743,NA,10135,70002,622,CASH,Mazda,CX-5,2019,NEW,7,31496,32865,31196,dmi,DEALER_TRADE,LA,Grand Touring FWD,6,FALSE,31492.36,GREAT,32142.62,FALSE,0.958233988
1/3/2019 0:00,403119,US,30076,17,915,30076,524,,Mazda,CX-9,2019,NEW,25,36563,36523,36523,reynolds,WHOLESALE,GA,Touring FWD,5,FALSE,36581.43,HIGH_OUTLIER,34526.06,FALSE,1.001599814
1/3/2019 0:00,395688,US,33950,343,9873,33980,571,LEASE,Nissan,Rogue Sport,2018,NEW,75,30052.73,32060,29760.98,netlink,RETAIL,FL,SL AWD,5,FALSE,27383.65,GREAT,29183.6,FALSE,0.854137555
1/3/2019 0:00,398269,US,80013-3224,NA,22161,80401,751,CASH,Nissan,Rogue Sport,2018,NEW,130,26055.6,NA,25775.05,dmi,RETAIL,CO,2018.5 SV AWD,6,FALSE,,,NA,NA,
1/3/2019 0:00,400437,US,91935-1537,NA,9288,92025,825,LOAN,INFINITI,Q50,2019,NEW,222,NA,NA,38466.81,dmi,RETAIL,CA,3.0t SPORT RWD,7,FALSE,,,NA,TRUE,
1/3/2019 0:00,390875,US,29501,NA,10485,31088,503,,Nissan,Armada,2018,NEW,18,45849,48995,44750,reynolds,DEALER_TRADE,GA,SV RWD,5,FALSE,44821.6,GOOD,44889.98,FALSE,0.91481988
1/3/2019 0:00,390877,US,90016,248,109523,90068,803,,Nissan,Armada,2018,NEW,1058,61505,64020,68499,reynolds,RETAIL,CA,Platinum RWD,7,FALSE,68608.59,HIGH_OUTLIER,59541.79,FALSE,1.071674321
1/3/2019 0:00,401965,US,78640-5853,NA,8484,79925,765,CASH,Toyota,4Runner,2019,NEW,NA,NA,NA,NA,dmi,,TX,SR5 4WD,6,FALSE,,,NA,NA,
1/3/2019 0:00,401965,US,27909-7222,NA,2676,23320,544,LOAN,Toyota,4Runner,2019,NEW,152,36816.77,39253,36369.8,dmi,RETAIL,VA,SR5 4WD,5,FALSE,36715.31,GREAT,37802.07,FALSE,0.935350419
1/3/2019 0:00,401125,US,33418,31,1031,33417,548,LEASE,Lexus,NX,2019,NEW,77,41723,44208,38734.94,autonation,,FL,NX 300 FWD,5,TRUE,39424.42,GREAT,40376.33,FALSE,0.891793793
1/3/2019 0:00,403989,US,22025-1208,NA,18469,23666,544,LOAN,Toyota,RAV4,2019,NEW,163,33499.77,35304,32525.33,dmi,RETAIL,VA,XLE Premium AWD,5,FALSE,32913.06,BELOW_MARKET,34167.82,FALSE,0.932275663
1/3/2019 0:00,394977,US,01545-3966,NA,18995,1581,506,LOAN,Toyota,RAV4,2018,NEW,47,26042.77,27419,23975,dmi,RETAIL,MA,LE AWD,3,FALSE,24202.76,GREAT,25177.81,FALSE,0.882700317
1/3/2019 0:00,403985,US,48033,13,39471,48033,505,,Toyota,RAV4,2019,NEW,155,36553.77,NA,38425,reynolds,RETAIL,MI,Limited AWD,2,FALSE,38486.48,ABOVE_MARKET,37619.17,FALSE,
1/3/2019 0:00,394967,US,90042-2841,NA,2761,91801,803,LOAN,Toyota,RAV4,2018,NEW,22,26483.03,27158,26380.77,dmi,RETAIL,CA,XLE FWD,7,FALSE,26631.38,GOOD,25805.11,FALSE,0.980609029
1/3/2019 0:00,394963,US,785664883,45,30483,78552,636,,Toyota,RAV4,2018,NEW,25,25571.83,26229,26201.1,reynolds,RETAIL,TX,LE FWD,6,FALSE,22464.88,BELOW_MARKET,24596.56,FALSE,0.856490144
