dma_id,finance_type,make_name,model_name,model_year,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
623,LOAN,Ford,Focus,2018,14,21080.76,22015,20556.76,dmi,RETAIL,TX,SE Sedan,6,FALSE,20752.04,GOOD,20307.92,FALSE,0.942631842
600,LOAN,Ford,Focus,2018,1092,21820.48,22250,17800,dmi,RETAIL,TX,SEL Sedan,6,FALSE,17969.1,LOW_OUTLIER,21148.88,TRUE,0.8076
602,LOAN,Ford,Taurus,2019,1,27319.96,28795,26485.96,dmi,DEALER_TRADE,IL,SE FWD,2,FALSE,26737.57,GREAT,27707.26,FALSE,0.928549054
512,LOAN,Ford,Taurus,2018,4,27211.21,28685,25806,dmi,RETAIL,MD,SE FWD,3,FALSE,26051.15,GREAT,26729.76,FALSE,0.908180234
541,LOAN,Ford,Transit Passenger Wagon,2019,29,36066.74,37080.58,38740,dmi,UNKNOWN,KY,"T-350 148"" Med Roof XL Sliding RH Dr",2,FALSE,39108.03,LOW_OUTLIER,44095.43,FALSE,0.91151
600,LOAN,Ford,Explorer,2018,28,32748.96,33330,31249,dmi,RETAIL,TX,Base FWD,6,FALSE,32807.74,ABOVE_MARKET,31545.87,FALSE,0.984330633
561,LOAN,Ford,Explorer,2018,25,38952.21,40720,39132.2,dmi,RETAIL,FL,XLT FWD,5,TRUE,38999.2,GOOD,38469.8,FALSE,0.957740668
556,LOAN,Ford,Explorer,2018,22,42249,47525,50444.28,dmi,RETAIL,VA,Limited 4WD,5,FALSE,50923.5,HIGH_OUTLIER,44773.36,TRUE,1.071509732
758,LOAN,Ford,Explorer,2018,250,36066.74,37080.58,46737.96,dmi,RETAIL,ID,Sport 4WD,4,FALSE,47181.97,BELOW_MARKET,49974.1,FALSE,0.91151
602,LOAN,Ford,Escape,2018,85,24813.44,26695,25363,netlink,RETAIL,IL,SE FWD,2,FALSE,25477.13,GREAT,26114.81,FALSE,0.954378348
602,LOAN,Ford,Escape,2018,17,30654.44,32025,31155,dmi,RETAIL,IL,SE 4WD,2,FALSE,31450.97,GOOD,30819.51,FALSE,0.982075566
501,LOAN,Honda,Civic,2019,2,22633.72,24295,21438.28,dmi,RETAIL,NJ,EX Sedan CVT,3,TRUE,21641.94,GREAT,22643.53,FALSE,0.890798107
506,LOAN,Honda,Civic,2019,10,22851.1,24295,22022.41,dmi,RETAIL,MA,EX Sedan CVT,3,FALSE,22231.62,GREAT,22463.76,FALSE,0.915069767
603,CASH,Honda,Civic,2019,27,23744.68,25495,23679.33,dmi,RETAIL,MO,EX-L Sedan CVT,2,FALSE,23904.28,GREAT,24341.45,FALSE,0.93760659
560,LOAN,Honda,Civic,2019,44,19832.45,37080.58,19926.27,dmi,UNKNOWN,NC,LX Sedan CVT,5,FALSE,20115.56,GOOD,19484.79,FALSE,0.91151
511,UNKNOWN,Honda,Insight,2019,124,23401.05,24955,27670,reynolds,RETAIL,MD,EX CVT,3,FALSE,27714.27,HIGH_OUTLIER,23269.11,FALSE,1.110569826
803,LOAN,Jeep,Wrangler,2018,18,36066.74,40860,40430,dmi,UNKNOWN,CA,Unlimited Sport S (JL),7,FALSE,39306.9,GREAT,40264.6,FALSE,0.961989721
803,LOAN,Jeep,Wrangler,2019,19,50136,37080.58,49539.69,dmi,RETAIL,CA,Unlimited Moab,7,FALSE,49505.56,GREAT,51771.33,FALSE,0.91151
504,UNKNOWN,Jeep,Wrangler,2018,295,44113,46620,43972.79,reynolds,RETAIL,PA,Unlimited Sahara (JL),3,TRUE,44043.14,GREAT,45257.01,FALSE,0.944726298
618,UNKNOWN,Jeep,Cherokee,2019,8,27954.35,26815,25457,reynolds,RETAIL,TX,Latitude FWD,6,FALSE,25497.73,GREAT,26918.44,FALSE,0.950875629
528,LOAN,Jeep,Cherokee,2019,5,31094,37080.58,29425.95,dmi,RETAIL,FL,Limited FWD,5,FALSE,29705.49,BELOW_MARKET,31357.25,FALSE,0.91151
506,CASH,Jeep,Cherokee,2019,11,37191,39575,37191,dmi,WHOLESALE,MA,Limited 4WD,3,FALSE,37544.31,GREAT,37950.39,FALSE,0.948687555
751,LOAN,Jeep,Cherokee,2019,13,36066.74,37980,36000,lhm,UNKNOWN,CO,Limited 4WD,6,FALSE,35956.8,GREAT,36136.98,FALSE,0.946729858
501,CASH,Jeep,Cherokee,2019,32,35787,37080.58,36860.54,dmi,RETAIL,NY,Limited 4WD,3,FALSE,37210.71,GOOD,36843.12,FALSE,0.91151
803,UNKNOWN,Jeep,Grand Cherokee,2018,16,42440,41980,42995,reynolds,RETAIL,CA,Limited RWD,7,FALSE,43063.79,HIGH_OUTLIER,40252.79,FALSE,1.025816818
506,CASH,Jeep,Grand Cherokee,2019,10,42462,43525,33782.11,dmi,FLEET,MA,Altitude 4WD,3,FALSE,34103.04,LOW_OUTLIER,42366.72,TRUE,0.783527628
501,LOAN,Jeep,Grand Cherokee,2019,2,36066.74,43735,43735,dmi,UNKNOWN,CT,Limited 4WD,3,FALSE,44150.48,ABOVE_MARKET,42684.36,FALSE,1.009499943
